CID;LID;NID;NAME;NCOMMENT;OFFICIALNAME
852;1;202;41145. sz. út;;
852;1;203;4145. sz. út;;
852;1;204;4145. sz. út (észak);;
852;1;205;4147. sz. út;;
852;1;206;4149. sz. út;;
852;1;207;4152. sz. út;;
852;1;208;4152. sz. út (észak);;
852;1;209;4154. sz. út;;
852;1;210;4155. sz. út;;
852;1;211;43. sz. főút;;
852;1;212;430. sz. főút;;
852;1;213;44. sz. főút;;
852;1;214;4401. sz. út;;
852;1;215;4404. sz. út;;
852;1;216;4405. sz. út;;
852;1;217;4410. sz. út;;
852;1;218;4413. sz. út;;
852;1;219;4414. sz. út;;
852;1;220;442. sz. főút;;
852;1;221;4432. sz. út;;
852;1;222;4434. sz. út;;
852;1;223;4435. sz. út;;
852;1;224;444. sz. főúr;;
852;1;225;444. sz. főút;;
852;1;226;445. sz. főút;;
852;1;227;4451. sz. út;;
852;1;228;4458. sz. út;;
852;1;229;4459. sz. út;;
852;1;230;448. sz. főút;;
852;1;231;45. kijárat;;
852;1;232;45. sz. főút;;
852;1;233;451. sz. főút;;
852;1;234;4519. sz. út;;
852;1;235;4521. sz. út;;
852;1;236;46 sz. főút: M4 autópálya,Törökszentmiklós - lehajtó Mezőberény felől;;
852;1;237;4601. sz. út;;
852;1;238;4603. sz. út;;
852;1;239;4607. sz. út;;
852;1;240;4608. sz. út;;
852;1;241;46170. sz. út (észak);;
852;1;242;4623. sz. út;;
852;1;243;4625. sz. út;;
852;1;244;4642. sz. út;;
852;1;245;468. sz. út;;
852;1;246;47 sz. főút: Debrecen Homokkerti felüljáró - felhajtó Szeged felé;;
852;1;247;47 sz. főút: Debrecen Homokkerti felüljáró - lehajtó Szeged felől;;
852;1;248;47 sz. főút: Hódmezővásárhely észak - felhajtó Debrecen felé;;
852;1;249;47 sz. főút: Hódmezővásárhely észak - felhajtó Szeged felé;;
852;1;250;47 sz. főút: Hódmezővásárhely észak - lehajtó Debrecen felől;;
852;1;251;47 sz. főút: Hódmezővásárhely észak - lehajtó Szeged felől;;
852;1;252;47. sz. főút;;
852;1;253;471. sz. főút;;
852;1;254;472 sz. főút: Hódmezővásárhely nyugat - felhajtó Hódmezővásárhely felé;;
852;1;255;472 sz. főút: Hódmezővásárhely nyugat - lehajtó Hódmezővásárhely felől;;
852;1;256;472. sz. főút;;
852;1;257;48. kijárat;;
852;1;258;4808. sz. út;;
852;1;259;481. sz. főút;;
852;1;260;4815. sz. út;;
852;1;261;4816. sz. út;;
852;1;262;49. sz. főút;;
852;1;263;4902. sz. út;;
852;1;264;4911. sz. út;;
852;1;265;493. sz. főút;;
852;1;266;4931. sz. út;;
852;1;267;5 sz. főút: Kecskemét 445. sz. főút - felhajtó Budapest felé;;
852;1;268;5 sz. főút: Kecskemét 445. sz. főút - felhajtó Röszke felé;;
852;1;269;5 sz. főút: Kecskemét 445. sz. főút - lehajtó Budapest felől;;
852;1;270;5 sz. főút: Kecskemét 445. sz. főút - lehajtó Röszke felől;;
852;1;271;5. sz. főút;;
852;1;272;501. utca;;
852;1;273;51. sz. főút;;
852;1;274;5101. sz. út;;
852;1;275;5101. sz. út.;;
852;1;276;5103. sz. út;;
852;1;277;5106. sz, út;;
852;1;278;5107. sz. út, Dunafalvai elágazás;;
852;1;279;5112. sz. út;;
852;1;280;5113. sz. út;;
852;1;281;5114. sz. út;;
852;1;282;5116. sz. út;;
852;1;283;512. sz. főút;;
852;1;284;5124;;
852;1;285;5124. sz. út;;
852;1;286;513. utca;;
852;1;287;52 sz. főút: Dunaföldvár, 6. sz. főút - felhajtó Kecskemét felé;;
852;1;288;52 sz. főút: Dunaföldvár, 6. sz. főút - lehajtó Kecskemét felől;;
852;1;289;52. kijárat;;
852;1;290;52. sz. főút;;
852;1;291;5202. sz. út;;
852;1;292;525. tér;;
852;1;293;526. sor;;
852;1;294;5302. sz. út;;
852;1;295;54. sz. főút;;
852;1;296;5402. sz. út;;
852;1;297;5411. sz. út;;
852;1;298;5422. sz. út;;
852;1;299;5432. sz. út;;
852;1;300;55. sz. főút;;
852;1;301;5512. sz. út;;
852;1;302;56 sz. főút: Mohács, nyugati körforgalom - lehajtó Szekszárd felől;;
852;1;303;5606. sz. út;;
852;1;304;5613. sz. út;;
852;1;305;5613. sz. út dél;;
852;1;306;5613. sz. út észak;;
852;1;307;57. sz. főút/M60 autópálya;;
852;1;308;5701. sz. út;;
852;1;309;578. sz. főút;;
852;1;310;58. kijárat;;
852;1;311;58. sz. főút;;
852;1;312;5826. sz. út;;
852;1;313;6. sz főút, Tengelic-Szőlőhegyi elágazás;;
852;1;314;6. sz főút: Tengelic-Szőlőhegyi elágazás;;
852;1;315;6. sz. főút;;
852;1;316;6. sz. főút: Dunaszentgyörgy dél;;
852;1;317;6. sz. főút: Paks Atromerőmű déli bejáró;;
852;1;318;60. kijárat;;
852;1;319;61. sz. főút;;
852;1;320;61. sz. főút: Desedai csomópont - felhajtó Dunaföldvár felé;;
852;1;321;61. sz. főút: Desedai csomópont - felhajtó Nagykanizsa felé;;
852;1;322;61. sz. főút: Desedai csomópont - lehajtó Dunaföldvár felől;;
