CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
852;3;1075;A;8;0;11435;17
852;3;1204;A;8;0;11425;17
852;3;2762;A;8;0;11460;17
852;3;1910;A;8;0;11459;17
852;3;2180;A;8;0;11458;17
852;3;2028;A;8;0;4967;17
852;3;2066;A;8;0;4942;17
852;3;2428;A;8;0;4932;17
852;3;497;A;8;0;5067;17
852;3;1472;A;8;0;5028;17
852;3;99;A;8;0;5005;17
852;3;2526;A;8;0;4687;17
852;3;306;A;8;0;4603;17
852;3;993;A;8;0;4570;17
852;3;839;A;8;0;4919;17
852;3;3088;A;8;0;4841;17
852;3;1398;A;8;0;4782;17
852;3;2131;A;8;0;5573;17
852;3;1643;A;8;0;5535;17
852;3;536;A;8;0;5489;17
852;3;2628;A;8;0;7748;17
852;3;1469;A;8;0;7642;17
852;3;2704;A;8;0;7640;17
852;3;1104;A;8;0;5134;17
852;3;3061;A;8;0;5127;17
852;3;1130;A;8;0;5078;17
852;3;1375;A;8;0;5410;17
852;3;335;A;8;0;5248;17
852;3;1955;A;8;0;5135;17
852;3;798;A;8;0;4567;17
852;3;962;A;8;0;3493;17
852;3;2997;A;8;0;3477;17
852;3;1504;A;8;0;3351;17
852;3;1206;A;8;0;3532;17
852;3;773;A;8;0;3522;17
852;3;2696;A;8;0;3511;17
852;3;782;A;8;0;3225;17
852;3;2000;A;8;0;3218;17
852;3;389;A;8;0;3212;17
852;3;883;A;8;0;3264;17
852;3;1610;A;8;0;3236;17
852;3;1943;A;8;0;3230;17
852;3;1767;A;8;0;4253;17
852;3;1173;A;8;0;4186;17
852;3;957;A;8;0;4150;17
852;3;713;A;8;0;4361;17
852;3;753;A;8;0;4329;17
852;3;380;A;8;0;4323;17
852;3;427;A;8;0;3865;17
852;3;2539;A;8;0;3814;17
852;3;2618;A;8;0;3791;17
852;3;1388;A;8;0;4148;17
852;3;1290;A;8;0;4022;17
852;3;231;A;8;0;3985;17
852;3;338;A;8;0;7750;17
852;3;936;A;8;0;8809;17
852;3;652;A;8;0;8808;17
852;3;1529;A;8;0;8806;17
852;3;499;A;8;0;8813;17
852;3;1749;A;8;0;8811;17
852;3;1648;A;8;0;8810;17
852;3;29;A;8;0;8766;17
852;3;1885;A;8;0;8765;17
852;3;1239;A;8;0;8763;17
852;3;1328;A;8;0;8805;17
852;3;759;A;8;0;8802;17
852;3;1292;A;8;0;8800;17
852;3;1312;A;8;0;8843;17
852;3;218;A;8;0;8839;17
852;3;745;A;8;0;8835;17
852;3;584;A;8;0;8886;17
852;3;813;A;8;0;8847;17
852;3;926;A;8;0;8844;17
852;3;807;A;8;0;8823;17
852;3;572;A;8;0;8821;17
852;3;320;A;8;0;8816;17
852;3;1833;A;8;0;8833;17
852;3;478;A;8;0;8831;17
852;3;1500;A;8;0;8828;17
852;3;726;A;8;0;8761;17
852;3;1491;A;8;0;8243;17
852;3;1616;A;8;0;8062;17
852;3;1409;A;8;0;8006;17
852;3;681;A;8;0;8326;17
852;3;851;A;8;0;8323;17
852;3;1776;A;8;0;8273;17
852;3;92;A;8;0;7846;17
852;3;2212;A;8;0;7818;17
852;3;739;A;8;0;7796;17
852;3;700;A;8;0;7936;17
852;3;1758;A;8;0;7908;17
852;3;2443;A;8;0;7880;17
852;3;122;A;8;0;8741;17
852;3;3053;A;8;0;8588;17
852;3;405;A;8;0;8570;17
852;3;509;A;8;0;8755;17
852;3;453;A;8;0;8752;17
852;3;510;A;8;0;8749;17
852;3;2965;A;8;0;8362;17
852;3;258;A;8;0;8356;17
852;3;230;A;8;0;8334;17
852;3;1081;A;8;0;8552;17
852;3;2062;A;8;0;8519;17
852;3;157;A;8;0;8374;17
852;3;1194;A;8;0;1770;15
852;3;194;A;8;0;1508;15
852;3;1516;A;8;0;1470;15
852;3;70;A;8;0;1787;15
852;3;127;A;8;0;1781;15
852;3;171;A;8;0;1772;15
852;3;1307;A;8;0;834;15
852;3;1200;A;8;0;820;15
852;3;310;A;8;0;752;15
852;3;1282;A;8;0;1426;15
852;3;385;A;8;0;963;15
852;3;238;A;8;0;886;15
852;3;3159;A;8;0;2194;15
852;3;212;A;8;0;2155;15
852;3;1638;A;8;0;2143;15
852;3;569;A;8;0;2252;15
852;3;107;A;8;0;2221;15
852;3;1838;A;8;0;2207;15
852;3;323;A;8;0;1898;15
852;3;47;A;8;0;1885;15
852;3;293;A;8;0;1828;15
852;3;539;A;8;0;2122;15
852;3;869;A;8;0;2097;15
852;3;359;A;8;0;2027;15
852;3;148;A;8;0;698;15
852;3;2382;A;8;0;10861;14
852;3;2409;A;8;0;10700;14
852;3;1088;A;8;0;10661;14
852;3;1742;A;8;0;10980;14
852;3;1107;A;8;0;10979;14
852;3;1256;A;8;0;10880;14
852;3;2088;A;8;0;10505;14
852;3;2205;A;8;0;10484;14
852;3;1760;A;8;0;10444;14
852;3;2132;A;8;0;10546;14
852;3;234;A;8;0;10541;14
852;3;2665;A;8;0;10540;14
852;3;2035;A;8;0;12272;14
852;3;1129;A;8;0;12230;14
852;3;908;A;8;0;11946;14
852;3;1067;A;8;0;617;15
852;3;108;A;8;0;592;15
852;3;2846;A;8;0;948;5
852;3;2276;A;8;0;11242;14
852;3;792;A;8;0;11105;14
852;3;803;A;8;0;10990;14
852;3;1135;A;8;0;11890;14
852;3;1728;A;8;0;11493;14
852;3;1783;A;8;0;11243;14
852;3;356;A;8;0;2253;15
852;3;270;A;8;0;4474;15
852;3;610;A;8;0;4308;15
852;3;504;A;8;0;4236;15
852;3;195;A;8;0;4671;15
852;3;1343;A;8;0;4608;15
852;3;1859;A;8;0;4499;15
852;3;378;A;8;0;4036;15
852;3;742;A;8;0;4013;15
852;3;508;A;8;0;3836;15
852;3;160;A;8;0;4067;15
852;3;2231;A;8;0;4053;15
852;3;2376;A;8;0;4050;15
852;3;709;A;8;0;5229;15
852;3;1556;A;8;0;5217;15
852;3;365;A;8;0;5073;15
852;3;1261;A;8;0;5486;15
852;3;650;A;8;0;5422;15
852;3;1694;A;8;0;5230;15
852;3;1873;A;8;0;4936;15
852;3;898;A;8;0;4927;15
852;3;187;A;8;0;4900;15
852;3;800;A;8;0;5060;15
852;3;174;A;8;0;4973;15
852;3;1737;A;8;0;4938;15
852;3;423;A;8;0;3793;15
852;3;455;A;8;0;2597;15
852;3;269;A;8;0;2566;15
852;3;64;A;8;0;2523;15
852;3;411;A;8;0;2848;15
852;3;276;A;8;0;2748;15
852;3;41;A;8;0;2736;15
852;3;815;A;8;0;2428;15
852;3;267;A;8;0;2373;15
852;3;649;A;8;0;2313;15
852;3;102;A;8;0;2519;15
852;3;520;A;8;0;2502;15
852;3;273;A;8;0;2432;15
852;3;81;A;8;0;3364;15
852;3;575;A;8;0;3313;15
852;3;60;A;8;0;3287;15
852;3;1142;A;8;0;3778;15
852;3;219;A;8;0;3610;15
852;3;123;A;8;0;3396;15
852;3;1379;A;8;0;3161;15
852;3;105;A;8;0;3059;15
852;3;525;A;8;0;2930;15
852;3;112;A;8;0;3283;15
852;3;804;A;8;0;3166;15
852;3;623;A;8;0;3165;15
852;3;3174;A;8;0;4051;14
852;3;2848;A;8;0;4021;14
852;3;1561;A;8;0;3961;14
852;3;688;A;8;0;4257;14
852;3;1612;A;8;0;4054;14
852;3;2074;A;8;0;4052;14
852;3;1787;A;8;0;3786;14
852;3;1397;A;8;0;3747;14
852;3;3085;A;8;0;3190;14
852;3;2869;A;8;0;3919;14
852;3;1977;A;8;0;3910;14
852;3;2389;A;8;0;3896;14
852;3;2080;A;8;0;4726;14
852;3;1773;A;8;0;4696;14
852;3;764;A;8;0;4501;14
852;3;2821;A;8;0;4820;14
852;3;2691;A;8;0;4797;14
852;3;2167;A;8;0;4790;14
852;3;1458;A;8;0;4438;14
852;3;1017;A;8;0;4437;14
852;3;1082;A;8;0;4319;14
852;3;1280;A;8;0;4441;14
852;3;538;A;8;0;4440;14
852;3;821;A;8;0;4439;14
852;3;1756;A;8;0;3157;14
852;3;2198;A;8;0;2119;14
852;3;2502;A;8;0;2093;14
852;3;2893;A;8;0;2079;14
852;3;557;A;8;0;2378;14
852;3;1070;A;8;0;2306;14
852;3;3056;A;8;0;2270;14
852;3;1220;A;8;0;1908;14
852;3;661;A;8;0;1839;14
852;3;1402;A;8;0;1723;14
852;3;1464;A;8;0;2078;14
852;3;2309;A;8;0;2075;14
852;3;1440;A;8;0;2016;14
852;3;399;A;8;0;2768;14
852;3;1940;A;8;0;2758;14
852;3;1947;A;8;0;2751;14
852;3;2865;A;8;0;2949;14
852;3;1719;A;8;0;2933;14
852;3;1098;A;8;0;2811;14
852;3;1195;A;8;0;2593;14
852;3;988;A;8;0;2483;14
852;3;1186;A;8;0;2447;14
852;3;1254;A;8;0;2703;14
852;3;1632;A;8;0;2661;14
852;3;2098;A;8;0;2654;14
852;3;1922;A;8;0;4837;14
852;3;944;A;8;0;9148;14
852;3;2447;A;8;0;9047;14
852;3;1380;A;8;0;8983;14
852;3;1889;A;8;0;9267;14
852;3;1431;A;8;0;9254;14
852;3;159;A;8;0;9243;14
852;3;1568;A;8;0;8667;14
852;3;917;A;8;0;8666;14
852;3;2058;A;8;0;8664;14
852;3;1241;A;8;0;8675;14
852;3;1904;A;8;0;8669;14
852;3;1730;A;8;0;8668;14
852;3;2567;A;8;0;9958;14
852;3;45;A;8;0;9934;14
852;3;1451;A;8;0;9886;14
852;3;2139;A;8;0;10427;14
852;3;1549;A;8;0;10293;14
852;3;3173;A;8;0;10244;14
852;3;3162;A;8;0;9714;14
852;3;3002;A;8;0;9581;14
852;3;1903;A;8;0;9419;14
852;3;655;A;8;0;9842;14
852;3;829;A;8;0;9824;14
852;3;495;A;8;0;9804;14
852;3;1822;A;8;0;8661;14
852;3;2663;A;8;0;7803;14
852;3;1233;A;8;0;7678;14
852;3;1613;A;8;0;7663;14
852;3;1415;A;8;0;7863;14
852;3;787;A;8;0;7862;14
852;3;1505;A;8;0;7861;14
852;3;1990;A;8;0;5437;14
852;3;3017;A;8;0;5358;14
852;3;2850;A;8;0;5273;14
852;3;1012;A;8;0;5576;14
852;3;1941;A;8;0;5574;14
852;3;1551;A;8;0;5525;14
852;3;626;A;8;0;8488;14
852;3;918;A;8;0;8461;14
852;3;2583;A;8;0;8416;14
852;3;1041;A;8;0;8657;14
852;3;1294;A;8;0;8651;14
852;3;1657;A;8;0;8643;14
852;3;721;A;8;0;7869;14
852;3;791;A;8;0;7868;14
852;3;946;A;8;0;7867;14
852;3;1832;A;8;0;8300;14
852;3;1481;A;8;0;8137;14
852;3;1819;A;8;0;8035;14
852;3;2566;A;8;0;5543;15
852;3;1248;A;8;0;1273;16
852;3;135;A;8;0;1265;16
852;3;2036;A;8;0;1218;16
852;3;2190;A;8;0;1396;16
852;3;2085;A;8;0;1350;16
852;3;1645;A;8;0;1305;16
852;3;932;A;8;0;1169;16
852;3;531;A;8;0;1166;16
852;3;2004;A;8;0;1160;16
852;3;1926;A;8;0;1188;16
852;3;998;A;8;0;1178;16
852;3;965;A;8;0;1173;16
852;3;2166;A;8;0;1866;16
852;3;1967;A;8;0;1738;16
852;3;2549;A;8;0;1682;16
852;3;2727;A;8;0;2069;16
852;3;2554;A;8;0;1954;16
852;3;1072;A;8;0;1872;16
852;3;2120;A;8;0;1594;16
852;3;568;A;8;0;1475;16
852;3;1871;A;8;0;1405;16
852;3;1627;A;8;0;1669;16
852;3;2161;A;8;0;1667;16
852;3;636;A;8;0;1631;16
852;3;2136;A;8;0;1158;16
852;3;327;A;8;0;12483;15
852;3;1278;A;8;0;12436;15
852;3;985;A;8;0;12203;15
852;3;682;A;8;0;629;16
852;3;1198;A;8;0;944;5
852;3;662;A;8;0;12491;15
852;3;91;A;8;0;12017;15
852;3;982;A;8;0;11950;15
852;3;987;A;8;0;11873;15
852;3;1103;A;8;0;12072;15
852;3;545;A;8;0;12066;15
852;3;161;A;8;0;12058;15
852;3;916;A;8;0;1105;16
852;3;1133;A;8;0;1103;16
852;3;256;A;8;0;1085;16
852;3;307;A;8;0;1152;16
852;3;1014;A;8;0;1149;16
852;3;754;A;8;0;1111;16
852;3;849;A;8;0;917;16
852;3;1279;A;8;0;801;16
852;3;2622;A;8;0;741;16
852;3;1286;A;8;0;1083;16
852;3;2722;A;8;0;1009;16
852;3;1518;A;8;0;924;16
852;3;1326;A;8;0;2131;16
852;3;1214;A;8;0;3903;16
852;3;2545;A;8;0;3889;16
852;3;1304;A;8;0;3816;16
852;3;2113;A;8;0;4003;16
852;3;1165;A;8;0;3990;16
852;3;3109;A;8;0;3952;16
852;3;1604;A;8;0;3659;16
852;3;2683;A;8;0;3595;16
852;3;2301;A;8;0;3538;16
852;3;2613;A;8;0;3790;16
852;3;2322;A;8;0;3774;16
852;3;2065;A;8;0;3713;16
852;3;1732;A;8;0;4378;16
852;3;2188;A;8;0;4364;16
852;3;1805;A;8;0;4327;16
852;3;2315;A;8;0;4390;16
852;3;3001;A;8;0;4388;16
852;3;893;A;8;0;4380;16
852;3;1895;A;8;0;4077;16
852;3;1153;A;8;0;4040;16
852;3;1148;A;8;0;4004;16
852;3;567;A;8;0;4292;16
852;3;1162;A;8;0;4272;16
852;3;1769;A;8;0;4146;16
852;3;2632;A;8;0;3510;16
852;3;2336;A;8;0;2481;16
852;3;2910;A;8;0;2468;16
852;3;1423;A;8;0;2256;16
852;3;2101;A;8;0;2921;16
852;3;2715;A;8;0;2601;16
852;3;2556;A;8;0;2596;16
852;3;2537;A;8;0;2146;16
852;3;2174;A;8;0;2142;16
852;3;919;A;8;0;2132;16
852;3;2815;A;8;0;2214;16
852;3;255;A;8;0;2209;16
852;3;2453;A;8;0;2147;16
852;3;2432;A;8;0;3273;16
852;3;1594;A;8;0;3178;16
852;3;2575;A;8;0;3172;16
852;3;1368;A;8;0;3378;16
852;3;1258;A;8;0;3334;16
852;3;1277;A;8;0;3309;16
852;3;3078;A;8;0;3044;16
852;3;2396;A;8;0;3042;16
852;3;2871;A;8;0;3007;16
852;3;2434;A;8;0;3133;16
852;3;2995;A;8;0;3131;16
852;3;297;A;8;0;3047;16
852;3;735;A;8;0;9440;15
852;3;383;A;8;0;9437;15
852;3;748;A;8;0;9436;15
852;3;1333;A;8;0;9479;15
852;3;133;A;8;0;9445;15
852;3;1494;A;8;0;9443;15
852;3;154;A;8;0;9420;15
852;3;856;A;8;0;9387;15
852;3;2353;A;8;0;9372;15
852;3;1456;A;8;0;9429;15
852;3;239;A;8;0;9424;15
852;3;488;A;8;0;9423;15
852;3;182;A;8;0;10170;15
852;3;3163;A;8;0;9781;15
852;3;1009;A;8;0;9675;15
852;3;471;A;8;0;10374;15
852;3;204;A;8;0;10314;15
852;3;540;A;8;0;10294;15
852;3;1780;A;8;0;9578;15
852;3;1029;A;8;0;9569;15
852;3;117;A;8;0;9512;15
852;3;186;A;8;0;9670;15
852;3;1506;A;8;0;9624;15
852;3;1059;A;8;0;9621;15
852;3;789;A;8;0;9352;15
852;3;3172;A;8;0;8163;15
852;3;84;A;8;0;8152;15
852;3;314;A;8;0;8111;15
852;3;68;A;8;0;8430;15
852;3;131;A;8;0;8404;15
852;3;1600;A;8;0;8308;15
852;3;1207;A;8;0;7716;15
852;3;1245;A;8;0;7710;15
852;3;168;A;8;0;7627;15
852;3;1720;A;8;0;8047;15
852;3;366;A;8;0;7919;15
852;3;1013;A;8;0;7795;15
852;3;834;A;8;0;9157;15
852;3;305;A;8;0;8993;15
852;3;286;A;8;0;8955;15
852;3;1140;A;8;0;9341;15
852;3;134;A;8;0;9283;15
852;3;288;A;8;0;9269;15
852;3;595;A;8;0;8534;15
852;3;341;A;8;0;8480;15
852;3;292;A;8;0;8447;15
852;3;185;A;8;0;8867;15
852;3;921;A;8;0;8702;15
852;3;412;A;8;0;8695;15
852;3;103;A;8;0;10520;15
852;3;329;A;8;0;11587;15
852;3;149;A;8;0;11561;15
852;3;173;A;8;0;11484;15
852;3;976;A;8;0;11693;15
852;3;559;A;8;0;11681;15
852;3;197;A;8;0;11624;15
852;3;3033;A;8;0;11251;15
852;3;943;A;8;0;11215;15
852;3;889;A;8;0;11192;15
852;3;1144;A;8;0;11471;15
852;3;466;A;8;0;11462;15
852;3;1253;A;8;0;11293;15
852;3;2230;A;8;0;11814;15
852;3;949;A;8;0;11804;15
852;3;1665;A;8;0;11803;15
852;3;646;A;8;0;11855;15
852;3;805;A;8;0;11818;15
852;3;971;A;8;0;11815;15
852;3;608;A;8;0;11767;15
852;3;166;A;8;0;11739;15
852;3;606;A;8;0;11719;15
