CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV;RDID
852;3;5373;L;7;0;;;3719;5101;2076;;
852;3;5399;L;7;0;;;3719;5389;61;;
852;3;5393;L;7;0;;;3719;5428;474;;
852;3;5395;L;7;0;;;3719;5432;474;;
852;3;4833;L;7;0;;;3719;5762;418;;
852;3;5403;L;7;0;;;3719;8196;952;;
852;3;5401;L;7;0;;;3719;8198;61;;
852;3;5355;L;7;0;;;3719;8863;143;;
852;3;4261;L;7;0;;;3719;9687;418;;
852;3;5365;L;7;0;;;3719;9779;69;;
852;3;5367;L;7;0;;;3719;11165;69;;
852;3;5363;L;7;0;;;3719;11179;34;;
852;3;5359;L;7;0;;;3719;11182;34;;
852;3;5343;L;7;0;;;3719;11561;149;;
852;3;5361;L;7;0;;;3719;11642;34;;
852;3;5351;L;7;0;;;3719;12490;327;;
852;3;6620;L;7;0;;;3720;3450;1048;;
852;3;6826;L;7;0;;;3720;3722;418;;
852;3;6614;L;7;0;;;3720;10470;143;;
852;3;6626;L;7;0;;;3720;11524;194;;
852;3;50057;L;1;3;1501;;3721;1502;10;;
852;3;4831;L;7;0;;;3722;1806;418;;
852;3;5405;L;7;0;;;3722;3719;418;;
852;3;5407;L;7;0;;;3722;3725;418;;
852;3;6820;L;7;0;;;3722;1806;418;;
852;3;4829;L;7;0;;;3725;1806;418;;
852;3;4259;L;7;0;;;3725;3722;418;;
852;3;51251;L;1;3;8523;;3743;3742;1203;;
852;3;50260;L;1;3;3311;;3755;9924;7;;
852;3;50257;L;1;3;3308;;3757;8229;7;;
852;3;4957;L;7;0;;;3758;6039;1323;;
852;3;4381;L;7;0;;;3758;8080;2054;;
852;3;4919;L;7;0;;;3759;1806;2538;;
852;3;4345;L;7;0;;;3759;11961;2538;;
852;3;50261;L;1;3;3312;;3761;9066;7;;
852;3;50258;L;1;3;3309;;3764;10388;7;;
852;3;51347;L;5;0;;293;3766;272;3186;;
852;3;51607;L;5;0;;3678;3768;2966;3185;;
852;3;51853;L;5;0;;8513;3768;8439;23;;
852;3;50669;L;1;3;5303;;3771;4479;5;;
852;3;50589;L;1;3;4813;;3773;8413;11;;
852;3;4771;L;7;0;;;3778;1806;1142;;
852;3;4201;L;7;0;;;3778;3719;1142;;
852;3;50648;L;1;3;5151;;3782;3906;2;;
852;3;50088;L;1;3;2133;;3784;5553;12;;
852;3;51522;L;5;0;;2775;3792;5091;23;;
852;3;51675;L;5;0;;4288;3792;10978;3190;;
852;3;50179;L;1;3;2627;;3808;3193;7;;
852;3;5031;L;7;0;;;3815;1806;30;;
852;3;4453;L;7;0;;;3815;9851;30;;
852;3;50898;L;1;3;6706;;3817;3818;16;;
852;3;51494;L;5;0;;2436;3827;4673;23;;
852;3;50226;L;1;3;3209;;3828;9620;2;;
852;3;51760;L;5;0;;5326;3837;4585;3179;;
852;3;50730;L;1;3;5605;;3841;7884;2;;
852;3;50324;L;1;3;3708;;3843;11220;7;;
852;3;51808;L;5;0;;7798;3847;3848;3178;;
852;3;50167;L;1;3;2614;;3853;9698;7;;
852;3;51671;L;5;0;;4267;3854;3909;3178;;
852;3;51547;L;5;0;;2978;3862;11836;3186;;
852;3;50490;L;1;3;4415;;3869;6582;8;;
852;3;6498;L;1;3;4459;;3870;3878;44;;
852;3;50489;L;1;3;4414;;3877;7737;8;;
852;3;6505;L;1;2;472;;3882;3872;44;;
852;3;51349;L;5;0;;647;3886;3678;23;;
852;3;51840;L;5;0;;8254;3886;9168;3195;;
852;3;5225;L;7;0;;;3889;1806;2994;;
852;3;4647;L;7;0;;;3889;5480;998;;
852;3;50906;L;1;3;6803;;3890;3891;16;;
852;3;51060;L;1;3;7501;;3891;1178;16;;
852;3;51690;L;5;0;;4473;3892;2461;3189;;
852;3;52006;L;5;0;;10680;3893;4008;3197;;
852;3;51608;L;5;0;;3679;3893;4695;3197;;
852;3;50174;L;1;3;2622;;3908;3146;7;;
852;3;52128;L;5;0;;12449;3909;1807;2;;
852;3;6083;L;6;1;;3917;3916;2526;15;;
852;3;50219;L;1;3;3202;;3921;1979;12;;
852;3;4883;L;7;0;;;3924;1806;395;;
