CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN;JNID
852;3;23220;P;1;12;;;3389;;110;;;50507;1;1;1;1;1;1;;;+02077360;+4693400;;0;
852;3;23221;P;1;12;;;7972;;93;;;50507;1;1;1;1;1;1;;;+02058350;+4685410;;0;
852;3;23222;P;1;12;;;10478;;93;;;50507;1;1;1;1;1;1;;;+02058090;+4685240;;0;
852;3;23028;P;1;12;;;3390;;110;;;50478;1;1;1;1;1;1;;;+02077720;+4693260;;0;
852;3;23029;P;1;11;;;10495;;1666;;;50478;1;1;1;1;1;1;;;+02080840;+4682570;;0;
852;3;23030;P;1;12;;;3974;;1666;;;50478;1;1;1;1;1;1;;;+02080820;+4681010;;0;
852;3;23031;P;1;11;;;5146;;257;;;50478;1;1;1;1;1;1;;;+02079420;+4676040;;0;
852;3;23032;P;1;12;;;5147;;257;;;50478;1;1;1;1;1;1;;;+02079350;+4675620;;0;
852;3;6511;P;1;3;;;6653;;257;;;50478;1;1;1;1;1;1;;;+02078141;+4673980;;0;
852;3;23033;P;1;8;;;8525;;272;;;50478;1;1;1;1;1;1;;;+02067300;+4667160;;0;
852;3;23034;P;1;12;;;3138;;375;;;50478;1;1;1;1;1;1;;;+02059010;+4666750;;0;
852;3;23035;P;1;12;;;4857;;375;;;50478;1;1;1;1;1;1;;;+02057600;+4666480;;0;
852;3;23036;P;1;12;;;11733;;1868;;;50478;1;1;1;1;1;1;;;+02052712;+4665976;;0;
852;3;23037;P;1;11;;;2821;;697;;;50478;1;1;1;1;1;1;;;+02045210;+4667110;;0;
852;3;23038;P;1;12;;;2822;;697;;;50478;1;1;1;1;1;1;;;+02038610;+4667900;;0;
852;3;23039;P;1;9;;;10719;;59;;;50478;1;1;1;1;1;1;;;+02027500;+4665540;;0;
