CID;TABCD;LCD;ALLOCATED
852;3;309;1
852;3;310;1
852;3;311;1
852;3;312;1
852;3;313;1
852;3;314;1
852;3;315;1
852;3;316;1
852;3;317;1
852;3;318;1
852;3;319;1
852;3;320;1
852;3;321;1
852;3;322;1
852;3;323;1
852;3;324;1
852;3;325;1
852;3;326;1
852;3;327;1
852;3;328;1
852;3;329;1
852;3;330;1
852;3;331;1
852;3;332;1
852;3;333;1
852;3;334;1
852;3;335;1
852;3;336;1
852;3;337;1
852;3;338;1
852;3;339;1
852;3;340;1
852;3;341;1
852;3;342;1
852;3;343;1
852;3;344;1
852;3;345;1
852;3;346;1
852;3;347;1
852;3;348;1
852;3;349;1
852;3;350;1
852;3;351;1
852;3;352;1
852;3;353;1
852;3;354;1
852;3;355;1
852;3;356;1
852;3;357;1
852;3;358;1
852;3;359;1
852;3;360;1
852;3;361;1
852;3;362;1
852;3;363;1
852;3;364;1
852;3;365;1
852;3;366;1
852;3;367;1
852;3;368;1
852;3;369;1
852;3;370;1
852;3;371;1
852;3;372;1
852;3;373;1
852;3;374;1
852;3;375;1
852;3;376;1
852;3;377;1
852;3;378;1
852;3;379;1
852;3;380;1
852;3;381;1
852;3;382;1
852;3;383;1
852;3;384;1
852;3;385;1
852;3;386;1
852;3;387;1
852;3;388;1
852;3;389;1
852;3;390;1
852;3;391;1
852;3;392;1
852;3;393;1
852;3;394;1
852;3;395;1
852;3;396;1
852;3;397;1
852;3;398;1
852;3;399;1
852;3;400;1
852;3;401;1
852;3;402;1
852;3;403;1
852;3;404;1
852;3;405;1
852;3;406;1
852;3;407;1
852;3;408;1
852;3;409;1
852;3;410;1
852;3;411;1
852;3;412;1
852;3;413;1
852;3;414;1
852;3;415;1
852;3;416;1
852;3;417;1
852;3;418;1
852;3;419;1
852;3;420;1
852;3;421;1
852;3;422;1
852;3;423;1
852;3;424;1
852;3;425;1
852;3;426;1
852;3;427;1
852;3;428;1
852;3;429;1
852;3;430;1
852;3;431;1
852;3;432;1
852;3;433;1
852;3;434;1
852;3;435;1
852;3;436;1
852;3;437;1
852;3;438;1
852;3;439;1
852;3;440;1
852;3;441;1
852;3;442;1
852;3;443;1
852;3;444;1
852;3;445;1
852;3;446;1
852;3;447;1
852;3;448;1
852;3;449;1
852;3;450;1
852;3;451;1
852;3;452;1
852;3;453;1
852;3;454;1
852;3;455;1
852;3;456;1
852;3;457;1
852;3;458;1
852;3;459;1
852;3;460;1
852;3;461;1
852;3;462;1
852;3;463;1
852;3;464;1
852;3;465;1
852;3;466;1
852;3;467;1
852;3;468;1
852;3;469;1
852;3;470;1
852;3;471;1
852;3;472;1
852;3;473;1
852;3;474;1
852;3;475;1
852;3;476;1
852;3;477;1
852;3;478;1
852;3;479;1
852;3;480;1
852;3;481;1
852;3;482;1
852;3;483;1
852;3;484;1
852;3;485;1
852;3;486;1
852;3;487;1
852;3;488;1
852;3;489;1
852;3;490;1
852;3;491;1
852;3;492;1
852;3;493;1
852;3;494;1
852;3;495;1
852;3;496;1
852;3;497;1
852;3;498;1
852;3;499;1
852;3;500;1
852;3;501;1
852;3;502;1
852;3;503;1
852;3;504;1
