CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
852;3;7181;852;3;6878
852;3;6877;852;3;6926
852;3;6926;852;3;7096
852;3;7096;852;3;7122
852;3;7122;852;3;7124
852;3;7124;852;3;7126
852;3;7126;852;3;6877
852;3;6876;852;3;7167
852;3;7167;852;3;7169
852;3;7169;852;3;7171
852;3;7171;852;3;7173
852;3;7173;852;3;7310
852;3;7310;852;3;6876
852;3;6875;852;3;7159
852;3;7159;852;3;7161
852;3;7161;852;3;7163
852;3;7163;852;3;7165
852;3;7165;852;3;6875
852;3;6874;852;3;7151
852;3;7151;852;3;7153
852;3;7153;852;3;7155
852;3;7155;852;3;7157
852;3;7157;852;3;7314
852;3;7314;852;3;6874
852;3;6873;852;3;7131
852;3;7131;852;3;7133
852;3;7133;852;3;7135
852;3;7135;852;3;7137
852;3;7137;852;3;27926
852;3;27926;852;3;27959
852;3;27959;852;3;6873
852;3;6872;852;3;7139
852;3;7139;852;3;7141
852;3;7141;852;3;7143
852;3;7143;852;3;7145
852;3;7145;852;3;6872
852;3;6868;852;3;20095
852;3;20095;852;3;6868
852;3;6844;852;3;6848
852;3;6848;852;3;6850
852;3;6850;852;3;6854
852;3;6854;852;3;22276
852;3;22276;852;3;6844
852;3;6834;852;3;25471
852;3;25471;852;3;6834
852;3;6709;852;3;6711
852;3;6711;852;3;6713
852;3;6713;852;3;6717
852;3;6717;852;3;6832
852;3;6832;852;3;6709
852;3;6699;852;3;6703
852;3;6703;852;3;6705
852;3;6705;852;3;6707
852;3;6707;852;3;21398
852;3;21398;852;3;22277
852;3;22277;852;3;6699
852;3;6617;852;3;6651
852;3;6651;852;3;6653
852;3;6653;852;3;6659
852;3;6659;852;3;28500
852;3;28500;852;3;6617
852;3;6564;852;3;6565
852;3;6565;852;3;6609
852;3;6609;852;3;6611
852;3;6611;852;3;6613
852;3;6613;852;3;6615
852;3;6615;852;3;6564
852;3;6560;852;3;7050
852;3;7050;852;3;7052
852;3;7052;852;3;7054
852;3;7054;852;3;7056
852;3;7056;852;3;6560
852;3;6559;852;3;6942
852;3;6942;852;3;7042
852;3;7042;852;3;7044
852;3;7044;852;3;7046
852;3;7046;852;3;7048
852;3;7048;852;3;6559
852;3;6558;852;3;7034
852;3;7034;852;3;7036
852;3;7036;852;3;7038
852;3;7038;852;3;7040
852;3;7040;852;3;6558
852;3;6557;852;3;6941
852;3;6941;852;3;7026
852;3;7026;852;3;7028
852;3;7028;852;3;7030
852;3;7030;852;3;7032
852;3;7032;852;3;6557
852;3;6556;852;3;7018
852;3;7018;852;3;7020
852;3;7020;852;3;7022
852;3;7022;852;3;7024
852;3;7024;852;3;6556
852;3;6550;852;3;27871
852;3;27871;852;3;6550
852;3;6546;852;3;25689
852;3;25689;852;3;6546
852;3;6542;852;3;6547
852;3;6547;852;3;25680
852;3;25680;852;3;6542
852;3;6535;852;3;7617
852;3;7617;852;3;7619
852;3;7619;852;3;6535
852;3;6534;852;3;7609
852;3;7609;852;3;7611
852;3;7611;852;3;7613
852;3;7613;852;3;7615
852;3;7615;852;3;6534
852;3;6532;852;3;6538
852;3;6538;852;3;6532
852;3;6531;852;3;6537
852;3;6537;852;3;7601
852;3;7601;852;3;7603
852;3;7603;852;3;7605
852;3;7605;852;3;7607
852;3;7607;852;3;6531
852;3;6530;852;3;6543
852;3;6543;852;3;7597
852;3;7597;852;3;7599
852;3;7599;852;3;7649
852;3;7649;852;3;7651
852;3;7651;852;3;6530
852;3;6528;852;3;6529
852;3;6529;852;3;6528
852;3;6524;852;3;25010
852;3;25010;852;3;6524
852;3;6519;852;3;6521
852;3;6521;852;3;6519
852;3;6518;852;3;6522
852;3;6522;852;3;6518
852;3;6508;852;3;23113
852;3;23113;852;3;6508
852;3;6506;852;3;22727
852;3;22727;852;3;6506
852;3;6504;852;3;6507
852;3;6507;852;3;7583
852;3;7583;852;3;7585
852;3;7585;852;3;6504
852;3;6502;852;3;6509
852;3;6509;852;3;6502
852;3;6501;852;3;6510
852;3;6510;852;3;7470
852;3;7470;852;3;7472
852;3;7472;852;3;7474
852;3;7474;852;3;7476
852;3;7476;852;3;6501
852;3;6497;852;3;6499
852;3;6499;852;3;6497
852;3;6493;852;3;23753
852;3;23753;852;3;6493
852;3;6492;852;3;22309
852;3;22309;852;3;6492
852;3;6487;852;3;6490
852;3;6490;852;3;6487
852;3;6486;852;3;6491
852;3;6491;852;3;6486
852;3;6485;852;3;6489
852;3;6489;852;3;6485
852;3;6481;852;3;6513
852;3;6513;852;3;6481
852;3;6480;852;3;6576
852;3;6576;852;3;7959
852;3;7959;852;3;7961
852;3;7961;852;3;7963
852;3;7963;852;3;7965
852;3;7965;852;3;6480
852;3;6479;852;3;6577
852;3;6577;852;3;7398
852;3;7398;852;3;7400
852;3;7400;852;3;7402
852;3;7402;852;3;7404
852;3;7404;852;3;6479
852;3;6478;852;3;7209
852;3;7209;852;3;7211
852;3;7211;852;3;7213
852;3;7213;852;3;7215
852;3;7215;852;3;7315
852;3;7315;852;3;6478
852;3;6477;852;3;22707
852;3;22707;852;3;22968
852;3;22968;852;3;6477
852;3;6476;852;3;7217
852;3;7217;852;3;7219
852;3;7219;852;3;7221
852;3;7221;852;3;7223
852;3;7223;852;3;6476
852;3;6475;852;3;6511
852;3;6511;852;3;6731
852;3;6731;852;3;6735
852;3;6735;852;3;6737
852;3;6737;852;3;6739
852;3;6739;852;3;6475
852;3;6474;852;3;6655
852;3;6655;852;3;6757
852;3;6757;852;3;6785
852;3;6785;852;3;6791
852;3;6791;852;3;6474
852;3;6473;852;3;6514
852;3;6514;852;3;6723
852;3;6723;852;3;6727
852;3;6727;852;3;6729
852;3;6729;852;3;6733
852;3;6733;852;3;6473
852;3;6472;852;3;6484
852;3;6484;852;3;6725
852;3;6725;852;3;6747
852;3;6747;852;3;6751
852;3;6751;852;3;6753
852;3;6753;852;3;6472
852;3;6471;852;3;6787
852;3;6787;852;3;6793
852;3;6793;852;3;6795
852;3;6795;852;3;6838
852;3;6838;852;3;6471
852;3;6470;852;3;6483
852;3;6483;852;3;6741
852;3;6741;852;3;6743
852;3;6743;852;3;6745
852;3;6745;852;3;6749
852;3;6749;852;3;6470
852;3;6469;852;3;6836
852;3;6836;852;3;6840
852;3;6840;852;3;6842
852;3;6842;852;3;6846
852;3;6846;852;3;6469
852;3;6468;852;3;7406
852;3;7406;852;3;7408
852;3;7408;852;3;7410
852;3;7410;852;3;7412
852;3;7412;852;3;22947
852;3;22947;852;3;23391
852;3;23391;852;3;6468
852;3;6465;852;3;22921
